sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
Female;[21, 40];Black;Spouse not present;*;United-States;Government;*;<=50K
